Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Type Species?,Genome Composition,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL,
948,Riboviria,,,,,,,,Picornavirales,,Secoviridae,Comovirinae,Nepovirus,,Tomato ringspot virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852132,
949,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Cheravirus,,Apple latent spherical virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852135,
950,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Cheravirus,,Arracacha virus B,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852136,
951,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Cheravirus,,Cherry rasp leaf virus,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852137,
952,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Cheravirus,,Currant latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852138,
953,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Cheravirus,,Stocky prune virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852139,
954,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Sadwavirus,,Satsuma dwarf virus,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852141,
955,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Sequivirus,,Carrot necrotic dieback virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852143,
956,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Sequivirus,,Dandelion yellow mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852144,
957,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Sequivirus,,Parsnip yellow fleck virus,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852145,
958,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Torradovirus,,Carrot torradovirus 1,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852147,
959,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Torradovirus,,Lettuce necrotic leaf curl virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852148,
960,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Torradovirus,,Motherwort yellow mottle virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852149,
961,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Torradovirus,,Squash chlorotic leaf spot virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852150,
962,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Torradovirus,,Tomato marchitez virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852151,
963,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Torradovirus,,Tomato torrado virus,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852152,
964,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Waikavirus,,Anthriscus yellows virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852159,
965,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Waikavirus,,Bellflower vein chlorosis virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852160,
966,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Waikavirus,,Maize chlorotic dwarf virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852161,
967,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,Waikavirus,,Rice tungro spherical virus,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852162,
968,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,,,Black raspberry necrosis virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852154,
969,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,,,Chocolate lily virus A,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852155,
970,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,,,Dioscorea mosaic associated virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855630,
971,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,,,Strawberry latent ringspot virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852156,
972,Riboviria,,,,,,,,Picornavirales,,Secoviridae,,,,Strawberry mottle virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852157,
973,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Alfalfa virus S,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855631,
974,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Arachis pintoi virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855632,
975,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Blackberry virus E,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852231,
976,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic mite-borne filamentous virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852175,
977,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic virus A,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852176,
978,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic virus B,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852177,
979,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic virus C,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852178,
980,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic virus D,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852179,
981,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic virus E,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852180,
982,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852181,
983,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Shallot virus X,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852182,
984,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Vanilla latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855633,
985,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Botrexvirus,,Botrytis virus X,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852184,
986,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Lolavirus,,Lolium latent virus,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852186,
987,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Mandarivirus,,Citrus yellow vein clearing virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852188,
988,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Mandarivirus,,Indian citrus ringspot virus,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852189,
989,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Platypuvirus,,Donkey orchid symptomless virus,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852191,
990,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Actinidia virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855634,
991,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Allium virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852193,
992,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Alstroemeria virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852194,
993,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Alternanthera mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852195,
994,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Asparagus virus 3,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852196,
995,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Bamboo mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852197,
996,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Cactus virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852198,
997,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Cassava common mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852199,
998,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Cassava virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852200,
999,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Clover yellow mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852201,
1000,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Cymbidium mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852202,
1001,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Foxtail mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852203,
1002,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Hosta virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852204,
1003,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Hydrangea ringspot virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852205,
1004,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Lagenaria mild mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852206,
1005,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Lettuce virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852207,
1006,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Lily virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852208,
1007,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Malva mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852209,
1008,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Mint virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852210,
1009,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Narcissus mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852211,
1010,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Nerine virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852212,
1011,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Opuntia virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852213,
1012,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Papaya mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852214,
1013,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Pepino mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852215,
1014,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Phaius virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852216,
1015,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Pitaya virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855635,
1016,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Plantago asiatica mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852217,
1017,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Plantain virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852218,
1018,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Potato aucuba mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852219,
1019,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Potato virus X,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852220,
1020,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Schlumbergera virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852221,
1021,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Strawberry mild yellow edge virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852222,
1022,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Tamus red mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852223,
1023,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Tulip virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852224,
1024,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Vanilla virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855636,
1025,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,White clover mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852225,
1026,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Yam virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852226,
1027,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Zygocactus virus X,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852227,
1028,Riboviria,,,,,,,,Tymovirales,,Alphaflexiviridae,,Sclerodarnavirus,,Sclerotinia sclerotiorum debilitation-associated RNA virus,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852229,
1029,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Aconitum latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852235,
1030,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,American hop latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852236,
1031,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Atractylodes mottle virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855637,
1032,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Blueberry scorch virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852237,
1033,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Butterbur mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852238,
1034,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Cactus virus 2,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852239,
1035,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Caper latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852240,
1036,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Carnation latent virus,1,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852241,
1037,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Chrysanthemum virus B,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852242,
1038,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Cole latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852243,
1039,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Coleus vein necrosis virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852244,
1040,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Cowpea mild mottle virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852245,
1041,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Cucumber vein-clearing virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852246,
1042,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Daphne virus S,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852247,
1043,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Gaillardia latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852248,
1044,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Garlic common latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852249,
1045,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Helenium virus S,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852250,
1046,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Helleborus mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852251,
1047,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Helleborus net necrosis virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852252,
1048,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Hippeastrum latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852253,
1049,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Hop latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852254,
1050,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Hop mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852255,
1051,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Hydrangea chlorotic mottle virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852256,
1052,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Kalanchoe latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852257,
1053,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Ligustrum necrotic ringspot virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852258,
1054,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Ligustrum virus A,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855638,
1055,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Lily symptomless virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852259,
1056,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Melon yellowing-associated virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852260,
1057,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Mirabilis jalapa mottle virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852261,
1058,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Narcissus common latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852262,
1059,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Nerine latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852263,
1060,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Passiflora latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852264,
1061,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Pea streak virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852265,
1062,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Phlox virus B,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852266,
1063,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Phlox virus M,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852267,
1064,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Phlox virus S,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852268,
1065,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Poplar mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852269,
1066,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Potato latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852270,
1067,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Potato virus H,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852271,
1068,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Potato virus M,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852272,
1069,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Potato virus P,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852273,
1070,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Potato virus S,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852274,
1071,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Red clover vein mosaic virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852275,
1072,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Sambucus virus C,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855639,
1073,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Sambucus virus D,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855640,
1074,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Sambucus virus E,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201855641,
1075,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Shallot latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852276,
1076,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Sint-Jan onion latent virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852277,
1077,Riboviria,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Strawberry pseudo mild yellow edge virus,0,ssRNA(+),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201852278,
